"SUBJECT","Subject","LOCATION","Country","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","FIN","Finland","ST","Level, ratio or index","A","Annual","2006","2006","PC","Percentage","0","Units",,,7.71666666666667,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","FIN","Finland","ST","Level, ratio or index","A","Annual","2007","2007","PC","Percentage","0","Units",,,6.86666666666667,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","FIN","Finland","ST","Level, ratio or index","A","Annual","2008","2008","PC","Percentage","0","Units",,,6.36666666666667,"B","Break"
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","FIN","Finland","ST","Level, ratio or index","A","Annual","2009","2009","PC","Percentage","0","Units",,,8.36666666666667,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","FIN","Finland","ST","Level, ratio or index","A","Annual","2010","2010","PC","Percentage","0","Units",,,8.54166666666666,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","FIN","Finland","ST","Level, ratio or index","A","Annual","2011","2011","PC","Percentage","0","Units",,,7.96666666666667,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","FIN","Finland","ST","Level, ratio or index","A","Annual","2012","2012","PC","Percentage","0","Units",,,7.80833333333334,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","FIN","Finland","ST","Level, ratio or index","A","Annual","2013","2013","PC","Percentage","0","Units",,,8.3,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","FIN","Finland","ST","Level, ratio or index","A","Annual","2014","2014","PC","Percentage","0","Units",,,8.75,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","FIN","Finland","ST","Level, ratio or index","A","Annual","2015","2015","PC","Percentage","0","Units",,,9.45833333333334,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","FIN","Finland","ST","Level, ratio or index","A","Annual","2016","2016","PC","Percentage","0","Units",,,8.91666666666667,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","FIN","Finland","ST","Level, ratio or index","A","Annual","2017","2017","PC","Percentage","0","Units",,,8.76666666666667,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","FIN","Finland","ST","Level, ratio or index","A","Annual","2018","2018","PC","Percentage","0","Units",,,7.43333333333334,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","FIN","Finland","ST","Level, ratio or index","A","Annual","2019","2019","PC","Percentage","0","Units",,,6.74166666666667,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","FIN","Finland","ST","Level, ratio or index","A","Annual","2020","2020","PC","Percentage","0","Units",,,7.725,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","FRA","France","ST","Level, ratio or index","A","Annual","2000","2000","PC","Percentage","0","Units",,,9.55833333333334,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","FRA","France","ST","Level, ratio or index","A","Annual","2001","2001","PC","Percentage","0","Units",,,8.74166666666667,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","FRA","France","ST","Level, ratio or index","A","Annual","2002","2002","PC","Percentage","0","Units",,,8.63333333333333,"B","Break"
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","FRA","France","ST","Level, ratio or index","A","Annual","2003","2003","PC","Percentage","0","Units",,,8.50833333333333,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","FRA","France","ST","Level, ratio or index","A","Annual","2004","2004","PC","Percentage","0","Units",,,8.9,,
